A/D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5,1.0,0.8333333333333334,0.6666666666666667,0.5,0.33333333333333337,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.25,1.5,1.2500000000000002,1.0,0.875,0.75,0.6250000000000001,0.5,0.375,0.2500000000000001,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,2.0,1.6666666666666667,1.3333333333333333,1.1666666666666667,1.0000000000000002,0.9,0.8,0.7,0.6000000000000001,0.5,0.4,0.33333333333333337,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.25,2.5,2.0833333333333335,1.666666666666667,1.4583333333333337,1.25,1.1250000000000002,1.0,0.916666666666667,0.8333333333333334,0.75,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.33333333333333337,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.5,3.0,2.5,2.0,1.75,1.5,1.3499999999999999,1.1999999999999997,1.0999999999999999,1.0,0.9285714285714285,0.8571428571428574,0.7857142857142858,0.7142857142857144,0.6428571428571428,0.5714285714285715,0.5,0.4285714285714286,0.375,0.3333333333333335,0.2500000000000003,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.75,3.166666666666667,2.7500000000000004,2.333333333333333,2.0416666666666665,1.7500000000000002,1.5750000000000002,1.4,1.2833333333333337,1.1666666666666667,1.0833333333333335,1.0000000000000004,0.9374999999999999,0.875,0.8125,0.7500000000000001,0.6875,0.6250000000000011,0.5625000000000002,0.5,0.4375,0.37500000000000017,0.33333333333333337,0.2500000000000002,0.25,0.25,0.25,0.0,0.0,0.0
8,4.0,3.3333333333333335,3.0000000000000004,2.6666666666666665,2.3333333333333335,2.0,1.8,1.6,1.466666666666667,1.3333333333333337,1.2380952380952381,1.142857142857143,1.0714285714285714,1.0,0.9444444444444445,0.8888888888888887,0.8333333333333333,0.7777777777777777,0.7222222222222224,0.6666666666666666,0.6111111111111114,0.5555555555555557,0.5,0.4444444444444444,0.4,0.33333333333333337,0.33333333333333337,0.25,0.25,0.25
9,4.0,3.5,3.125,2.833333333333334,2.541666666666667,2.2500000000000004,2.025,1.8000000000000007,1.6500000000000001,1.5,1.3928571428571435,1.285714285714286,1.205357142857143,1.1250000000000007,1.0625,1.0000000000000004,0.9500000000000003,0.9,0.85,0.8000000000000007,0.7500000000000001,0.7000000000000001,0.65,0.6,0.5500000000000003,0.5,0.45,0.4,0.37500000000000017,0.33333333333333337
10,4.0,3.6666666666666665,3.25,3.0,2.7500000000000004,2.500000000000001,2.25,2.0000000000000004,1.8333333333333333,1.6666666666666667,1.5476190476190477,1.4285714285714288,1.3392857142857142,1.2500000000000002,1.1805555555555554,1.1111111111111114,1.0555555555555558,1.0000000000000004,0.9545454545454546,0.909090909090909,0.8636363636363641,0.8181818181818181,0.7727272727272727,0.7272727272727282,0.6818181818181821,0.6363636363636362,0.590909090909091,0.5454545454545455,0.5000000000000002,0.4545454545454546
11,4.0,3.75,3.3750000000000004,3.1000000000000005,2.875,2.650000000000001,2.425,2.2,2.016666666666667,1.8333333333333333,1.7023809523809526,1.5714285714285716,1.4732142857142858,1.375,1.2986111111111114,1.222222222222223,1.1611111111111112,1.1000000000000008,1.0500000000000005,0.9999999999999998,0.9583333333333337,0.9166666666666667,0.8750000000000006,0.8333333333333334,0.7916666666666667,0.7500000000000001,0.7083333333333333,0.6666666666666667,0.6249999999999998,0.5833333333333333
