33,34,33
33,33,34
34,33,33
34,34,32
32,34,34
34,32,34
35,33,32
32,33,35
33,32,35
35,32,33
33,35,32
32,35,33
34,35,31
31,34,35
34,31,35
35,31,34
35,34,31
31,35,34
32,32,36
32,36,32
38,34,28
36,38,26
41,28,31
26,34,40
37,39,24
27,44,29
26,30,44
32,44,24
27,28,45
45,23,32
41,41,18
43,39,18
48,32,20
36,47,17
42,15,43
15,44,41
25,52,23
24,23,53
48,14,38
40,12,48
20,25,55
19,55,26
14,54,32
32,54,14
20,57,23
41,49,10
31,12,57
44,7,49
44,49,7
60,15,25
55,8,37
43,51,6
56,8,36
60,12,28
7,34,59
14,23,63
38,58,4
58,2,40
28,66,6
71,11,18
