A/D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.875,0.75,0.625,0.5,0.37500000000000006,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.75,1.5000000000000002,1.25,1.0,0.9166666666666667,0.8333333333333334,0.75,0.6666666666666667,0.5833333333333334,0.5,0.4166666666666667,0.33333333333333337,0.25,0.16666666666666669,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.625,2.25,1.8750000000000002,1.5,1.3750000000000002,1.2500000000000004,1.1249999999999998,1.0,0.9375,0.8750000000000001,0.8125,0.75,0.6875,0.625,0.5625,0.5000000000000001,0.43750000000000006,0.375,0.31250000000000006,0.25000000000000006,0.1875,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.5,3.0,2.5,2.0,1.8333333333333335,1.6666666666666665,1.5,1.3333333333333335,1.25,1.166666666666667,1.0833333333333335,1.0,0.9500000000000001,0.9,0.85,0.7999999999999999,0.75,0.7000000000000001,0.65,0.6000000000000001,0.55,0.5000000000000001,0.45,0.4,0.35,0.30000000000000004,0.25,0.2,0.16666666666666674,0.125
5,4.375,3.75,3.1250000000000013,2.5,2.291666666666667,2.0833333333333335,1.8749999999999998,1.6666666666666665,1.5625,1.458333333333333,1.3541666666666665,1.2500000000000002,1.1875,1.125,1.0625000000000002,1.0,0.9583333333333335,0.9166666666666666,0.8749999999999999,0.8333333333333334,0.7916666666666667,0.7500000000000002,0.7083333333333333,0.6666666666666667,0.625,0.5833333333333334,0.5416666666666667,0.5000000000000001,0.45833333333333337,0.41666666666666685
6,5.25,4.5,3.75,3.0,2.75,2.5000000000000004,2.25,2.0,1.875,1.7500000000000002,1.625,1.5,1.425,1.35,1.275,1.2000000000000002,1.1500000000000001,1.1,1.05,1.0000000000000002,0.9642857142857143,0.9285714285714286,0.8928571428571428,0.8571428571428571,0.8214285714285716,0.7857142857142858,0.7499999999999999,0.7142857142857142,0.6785714285714286,0.642857142857143
7,6.125000000000001,5.25,4.375,3.5,3.2083333333333335,2.916666666666667,2.6250000000000004,2.3333333333333335,2.1875,2.0416666666666665,1.8958333333333337,1.7500000000000004,1.6625,1.5749999999999997,1.4875,1.4000000000000008,1.3416666666666668,1.2833333333333337,1.2250000000000005,1.1666666666666665,1.1249999999999998,1.0833333333333333,1.0416666666666667,1.0000000000000002,0.9687499999999999,0.9375000000000001,0.9062500000000001,0.875,0.8437500000000001,0.8125000000000002
8,7.0,6.0,5.0,4.0,3.666666666666667,3.333333333333333,3.0,2.6666666666666665,2.5,2.3333333333333335,2.166666666666667,2.0000000000000004,1.9,1.8000000000000003,1.7,1.6,1.5333333333333332,1.4666666666666668,1.4,1.3333333333333333,1.2857142857142856,1.2380952380952381,1.1904761904761907,1.1428571428571428,1.107142857142857,1.0714285714285714,1.0357142857142856,1.0000000000000002,0.9722222222222223,0.9444444444444444
9,7.125,6.25,5.375,4.500000000000001,4.125,3.7500000000000004,3.3750000000000013,2.9999999999999996,2.8125,2.625,2.437500000000001,2.25,2.1375,2.0250000000000004,1.9124999999999999,1.8000000000000003,1.725,1.6500000000000001,1.5750000000000004,1.5,1.4464285714285714,1.3928571428571426,1.3392857142857144,1.2857142857142856,1.2455357142857144,1.2053571428571428,1.1651785714285716,1.1249999999999998,1.09375,1.0625
10,7.25,6.500000000000001,5.750000000000002,5.000000000000001,4.583333333333334,4.166666666666667,3.7500000000000004,3.3333333333333335,3.125,2.9166666666666674,2.7083333333333335,2.500000000000001,2.375,2.250000000000001,2.1250000000000013,2.0,1.9166666666666665,1.8333333333333333,1.75,1.6666666666666672,1.6071428571428572,1.5476190476190483,1.4880952380952381,1.428571428571429,1.3839285714285716,1.3392857142857144,1.2946428571428574,1.2500000000000004,1.215277777777778,1.1805555555555554
