60,31,9
49,47,4
52,48,0
51,39,10
44,36,20
45,41,14
61,28,11
65,35,0
57,37,6
59,33,8
56,43,1
64,18,18
54,23,23
66,17,17
42,29,29
67,25,8
50,37,13
57,38,5
55,43,2
58,35,7
65,28,7
40,30,30
53,45,2
63,22,15
62,22,16
46,27,27
58,21,21
62,26,12
36,32,32
50,38,12
47,44,9
65,28,7
62,22,16
56,30,14
53,43,4
51,49,0
52,33,15
55,39,6
57,35,8
64,25,11
61,27,12
59,40,1
58,21,21
66,17,17
60,20,20
61,38,1
46,42,12
50,45,5
64,18,18
48,41,11
66,24,10
57,41,2
63,35,2
45,29,26
55,32,13
67,23,10
49,48,3
51,36,13
54,43,3
53,42,5
